利用	りよう
米兵	べいへい
博文	はくぶん
両氏	りょうし
完敗	かんぱい
官民	かんみん
関門	かんもん
配付	はいふ
無礼	ぶれい
新種	しんしゅ
初見	しょけん
川辺	かわべ
法相	ほうしょう|ほっそう
焼成	しょうせい
刷り	すり|ずり
平岡	ひらおか
軍部	ぐんぶ
一説	いっせつ
各県	かくけん|かっけん
犬種	けんしゅ
血清	けっせい
戦中	せんちゅう
三位	さんみ
どん底	どんぞこ
達者	たっしゃ|だっしゃ
量的	りょうてき
無残	むざん
各課	かくか
平城	ひらじろ
連作	れんさく
司書	ししょ
英字	えいじ
左利き	ひだりきき
交戦	こうせん
標語	ひょうご
球児	きゅうじ
不発	ふはつ
無害	むがい
古城	こじょう
好天	こうてん
成す	なす
満期	まんき
塩水	えんすい|しおみず
用量	ようりょう
特区	とっく
利根	りこん
朝ご飯	あさごはん
談笑	だんしょう
熱愛	ねつあい
法科	ほうか
特売	とくばい
中隊	ちゅうたい
不定	ふてい
塩田	えんでん
画材	がざい
別記	べっき
転機	てんき
借用	しゃくよう
良し悪し	よしあし
熱戦	ねっせん
焼ける	やける
氏神	うじがみ
各界	かくかい|かっかい
軍用	ぐんよう
然り	しかり
一夫	いっぷ
内包	ないほう
功徳	くどく|こうとく
見栄	みえ
連山	れんざん
満室	まんしつ
共栄	きょうえい
梅林	うめばやし|ばいりん
束ね	たばね|つかね
欠場	けつじょう
周波	しゅうは
変わり目	かわりめ
望める	のぞめる
満タン	まんたん
満天	まんてん
学説	がくせつ
番付	ばんづけ
無くす	なくす
望遠	ぼうえん
悲願	ひがん
行く末	ゆくすえ
飯店	はんてん
使節	しせつ
司る	つかさどる
一軍	いちぐん
米英	べいえい
失速	しっそく
小径	こみち|しょうけい
大輪	たいりん
以南	いなん
王位	おうい
不通	ふつう
大夫	たいふ|たゆう|だいぶ|だゆう
古参	こさん
島民	とうみん
入念	にゅうねん
市井	しせい
気管	きかん
宮参り	みやまいり
大群	たいぐん
国府	こくふ
天満	てんまん
言説	げんせつ
底力	そこぢから
英明	えいめい
健気	けなげ
末っ子	すえっこ
訓令	くんれい
産生	さんせい
英米	えいべい
好機	こうき
折る	おる
定説	ていせつ
最愛	さいあい
開票	かいひょう
末広	すえひろ
貝類	かいるい
月初め	つきはじめ
同省	どうしょう
束の間	つかのま
飛べる	とべる
初日の出	はつひので
失神	しっしん
電位	でんい
灯火	とうか|ともしび
印紙	いんし
失笑	しっしょう
無期	むき|むご
重機	じゅうき
器材	きざい
買付	かいつけ
米倉	こめぐら
名札	なふだ
一苦労	ひとくろう
街灯	がいとう
変り	かわり
軍国	ぐんこく
結実	けつじつ
積もり	つもり|づもり
然し	しかし
小節	こぶし|しょうせつ
結石	けっせき
図案	ずあん
以北	いほく
底面	ていめん
要所	ようしょ
松林	まつばやし
着席	ちゃくせき
標題	ひょうだい
たい焼き	たいやき
不変	ふへん
列伝	れつでん
海側	うみがわ
仲直り	なかなおり
土建	どけん
身辺	しんぺん
一念	いちねん
実機	じっき
首席	しゅせき
赤飯	せきはん
香味	こうみ
百景	ひゃっけい
薬害	やくがい
通関	つうかん
無心	むしん
説法	せっぽう
全焼	ぜんしょう
内輪	うちわ|ないりん
泣く泣く	なくなく
兵法	へいほう|ひょうほう|びょうほう
初等	しょとう
線量	せんりょう
県側	けんがわ
法話	ほうわ
観月	かんげつ
水菜	みずな
実録	じつろく
図録	ずろく
氏子	うじこ
変位	へんい
泣き声	なきごえ
不平	ふへい
奈落	ならく
号令	ごうれい
大隊	だいたい
大別	たいべつ
念入り	ねんいり
差し歯	さしば
折り合い	おりあい
利口	りこう
府民	ふみん
覚ます	さます
別売り	べつうり
青果	せいか
以て	もて
億万	おくまん
病的	びょうてき
祝辞	しゅくじ
朝飯	あさめし|あさはん
開成	かいせい
飛び入り	とびいり
農産	のうさん
左官	さかん|しゃかん
続落	ぞくらく
自愛	じあい
唱歌	しょうか|しょうが
産学官	さんがくかん
出兵	しゅっぺい
極小	きょくしょう|ごくしょう
語録	ごろく
対極	たいきょく
信ぴょう	しんぴょう
炭焼き	すみやき
変速	へんそく
本願	ほんがん
年産	ねんさん
養分	ようぶん
朝焼け	あさやけ
親類	しんるい
無法	むほう
急変	きゅうへん
陸地	りくち
好投	こうとう
雨量	うりょう
主管	しゅかん
全景	ぜんけい
沖合	おきあい
水軍	すいぐん
失明	しつめい
花芽	はなめ|かが
養い	やしない
卒園	そつえん
下側	したがわ
冷気	れいき
公民	こうみん
順当	じゅんとう
小梅	こうめ
清和	せいわ
旗本	はたもと
草案	そうあん
こちら側	こちらがわ
選書	せんしょ
人選	じんせん
特命	とくめい
要人	ようじん
街区	がいく
帳票	ちょうひょう
答案	とうあん
八景	はっけい
戦勝	せんしょう
争議	そうぎ
芸名	げいめい
別所	べっしょ
軍服	ぐんぷく
道民	どうみん
温浴	おんよく
時季	じき
信金	しんきん
輪切り	わぎり
極道	ごくどう
七輪	しちりん
お仕置き	おしおき
辞令	じれい
各局	かくきょく
群集	ぐんしゅう
温熱	おんねつ
未読	みどく
地底	ちてい
中佐	ちゅうさ
都議	とぎ
的外れ	まとはずれ
消灯	しょうとう
進軍	しんぐん
省力	しょうりき|しょうりょく
無量	むりょう
試薬	しやく
置ける	おける
水利	すいり
類語	るいご
力説	りきせつ
失言	しつげん
城北	じょうほく
課外	かがい
中卒	ちゅうそつ
標記	ひょうき
敗れる	やぶれる
競り	せり|ぜり
商戦	しょうせん
名城	めいじょう
司教	しきょう
社協	しゃきょう
病害虫	びょうがいちゅう
本戦	ほんせん
積み立て	つみたて
富む	とむ
花輪	はなわ
愛でる	めでる
後輪	こうりん
利上げ	りあげ
養父	ようふ
共働き	ともばたらき
化成	かせい
心残り	こころのこり
前輪	ぜんりん
各紙	かくし
羽衣	はごろも
滋養	じよう
昨秋	さくしゅう
競泳	きょうえい
金貨	きんか
松明	たいまつ
新約	しんやく
向かい側	むかいがわ
決別	けつべつ
花器	かき
課す	かす
底上げ	そこあげ
神器	じんぎ
地熱	じねつ|ちねつ
物好き	ものずき
高給	こうきゅう
全席	ぜんせき
機長	きちょう
女官	にょかん|じょかん
岩塩	がんえん
笑い話	わらいばなし
戦友	せんゆう
初雪	はつゆき
老年	ろうねん
焼き魚	やきざかな
同位	どうい
他愛	たあい
改選	かいせん
昨日今日	きのうきょう
散見	さんけん
湯量	ゆりょう
所望	しょもう
方便	ほうべん
法輪	ほうりん|ぼうりん
選対	せんたい
以西	いせい
低木	ていぼく
関所	せきしょ
省く	はぶく
満車	まんしゃ
大泣き	おおなき
静養	せいよう
極細	ごくぼそ
説話	せつわ
鹿角	ろっかく
大軍	たいぐん
軍配	ぐんばい
茶器	ちゃき
府県	ふけん
先達	せんだつ
軍手	ぐんて
香典	こうでん
無二	むに
浅見	せんけん
極太	ごくぶと
失念	しつねん
無病	むびょう
法王	ほうおう
不死	ふし
管区	かんく
国軍	こくぐん
育英	いくえい
単線	たんせん
街歩き	まちあるき
近付く	ちかづく
戦果	せんか
副題	ふくだい
大観	たいかん
議院	ぎいん
入管	にゅうかん
重臣	じゅうしん
原典	げんてん
初耳	はつみみ
共学	きょうがく
美的	びてき
長城	ちょうじょう
関係者	かんけいしゃ
具体的	ぐたいてき
管理者	かんりしゃ
管理人	かんりにん
利用者	りようしゃ
手数料	てすうりょう
参加者	さんかしゃ
初心者	しょしんしゃ
積極的	せっきょくてき
博物館	はくぶつかん
取引法	とりひきほう
労働者	ろうどうしゃ
協議会	きょうぎかい
飛行機	ひこうき
社会的	しゃかいてき
商店街	しょうてんがい
自治体	じちたい
自動的	じどうてき
時間帯	じかんたい
最終的	さいしゅうてき
交差点	こうさてん
説明会	せつめいかい
英会話	えいかいわ
観光客	かんこうきゃく
定期的	ていきてき
世界的	せかいてき
全体的	ぜんたいてき
最大級	さいだいきゅう
不具合	ふぐあい
記念日	きねんび
体験談	たいけんだん
一時的	いちじてき
市街地	しがいち
不安定	ふあんてい
卒業生	そつぎょうせい
代表的	だいひょうてき
最終日	さいしゅうび
小児科	しょうにか
観光地	かんこうち
科学的	かがくてき
受付中	うけつけちゅう
参議院	さんぎいん
結果的	けっかてき
満足度	まんぞくど
労働省	ろうどうしょう
単行本	たんこうぼん
会議室	かいぎしつ
副作用	ふくさよう
目的地	もくてきち
公民館	こうみんかん
客観的	きゃっかんてき
調味料	ちょうみりょう
原材料	げんざいりょう
海水浴	かいすいよく
受験生	じゅけんせい
生産者	せいさんしゃ
一方的	いっぽうてき
卒業後	そつぎょうご
全国的	ぜんこくてき
参院選	さんいんせん
市議会	しぎかい
百貨店	ひゃっかてん
希望者	きぼうしゃ
会議所	かいぎしょ
連合会	れんごうかい
特産品	とくさんひん
料理店	りょうりてん
周波数	しゅうはすう
説明書	せつめいしょ
根本的	こんぽんてき
世界観	せかいかん
日本軍	にほんぐん
今週末	こんしゅうまつ
大自然	だいしぜん
合理的	ごうりてき
記念館	きねんかん
共和国	きょうわこく
不自由	ふじゆう
無関係	むかんけい
大浴場	だいよくじょう
無意味	むいみ
不自然	ふしぜん
植民地	しょくみんち
農産物	のうさんぶつ
交通省	こうつうしょう
選挙区	せんきょく
不十分	ふじゅうぶん
卒業式	そつぎょうしき
決定的	けっていてき
科学省	かがくしょう
法改正	ほうかいせい
不動産屋	ふどうさんや
落札者	らくさつしゃ
未成年	みせいねん
要注意	ようちゅうい
物理的	ぶつりてき
画期的	かっきてき
機関車	きかんしゃ
使用料	しようりょう
理想的	りそうてき
不気味	ぶきみ
最前線	さいぜんせん
全面的	ぜんめんてき
時間的	じかんてき
意図的	いとてき
最高級	さいこうきゅう
助成金	じょせいきん
共同体	きょうどうたい
放課後	ほうかご
無農薬	むのうやく
長期的	ちょうきてき
歯周病	ししゅうびょう
主観的	しゅかんてき
消化器	しょうかき
副会長	ふくかいちょう
文化的	ぶんかてき
加害者	かがいしゃ
給付金	きゅうふきん
食料品	しょくりょうひん
完成度	かんせいど
自治会	じちかい
昨年度	さくねんど
小説家	しょうせつか
自主的	じしゅてき
記念品	きねんひん
不定期	ふていき
県議会	けんぎかい
共通点	きょうつうてん
体験者	たいけんしゃ
参考書	さんこうしょ
不景気	ふけいき
競争力	きょうそうりょく
健康的	けんこうてき
競馬場	けいばじょう
城下町	じょうかまち
主治医	しゅじい
不良品	ふりょうひん
多目的	たもくてき
不登校	ふとうこう
工芸品	こうげいひん
協力者	きょうりょくしゃ
本会議	ほんかいぎ
相対的	そうたいてき
飛行場	ひこうじょう
計画的	けいかくてき
未使用	みしよう
年度末	ねんどまつ
決勝戦	けっしょうせん
登録者	とうろくしゃ
生徒会	せいとかい
加工品	かこうひん
対照的	たいしょうてき
生産量	せいさんりょう
必然的	ひつぜんてき
当選者	とうせんしゃ
参考人	さんこうにん
部分的	ぶぶんてき
最上階	さいじょうかい
司令官	しれいかん
産業省	さんぎょうしょう
人間的	にんげんてき
最新作	さいしんさく
交付金	こうふきん
初対面	しょたいめん
心理的	しんりてき
料理人	りょうりにん
望遠鏡	ぼうえんきょう
不都合	ふつごう
定例会	ていれいかい
医学的	いがくてき
相続人	そうぞくにん
機械的	きかいてき
成人式	せいじんしき
料金表	りょうきんひょう
試写会	ししゃかい
不器用	ぶきよう
最下位	さいかい
大成功	だいせいこう
初体験	はつたいけん
不完全	ふかんぜん
料理屋	りょうりや
感動的	かんどうてき
住民票	じゅうみんひょう
先週末	せんしゅうまつ
配信中	はいしんちゅう
印刷用	いんさつよう
低学年	ていがくねん
昨年末	さくねんまつ
利用料	りようりょう
改正前	かいせいまえ
法学部	ほうがくぶ
仲間達	なかまたち
交通量	こうつうりょう
借入金	かりいれきん
配送料	はいそうりょう
好立地	こうりっち
散歩道	さんぽみち
古民家	こみんか
急成長	きゅうせいちょう
近代的	きんだいてき
愛好家	あいこうか
加入者	かにゅうしゃ
試合後	しあいご
助手席	じょしゅせき
無料化	むりょうか
労働力	ろうどうりょく
天然石	てんねんせき
不用品	ふようひん
仲間内	なかまうち
無関心	むかんしん
自然界	しぜんかい
計算機	けいさんき
肉体的	にくたいてき
司会者	しかいしゃ
新感覚	しんかんかく
会社法	かいしゃほう
実用的	じつようてき
説明文	せつめいぶん
新生児	しんせいじ
使用量	しようりょう
達成感	たっせいかん
印刷物	いんさつぶつ
熱帯魚	ねったいぎょ
主体的	しゅたいてき
自発的	じはつてき
不細工	ぶさいく
議事録	ぎじろく
満足感	まんぞくかん
作成者	さくせいしゃ
予算案	よさんあん
先住民	せんじゅうみん
差別化	さべつか
国民的	こくみんてき
料理長	りょうりちょう
議定書	ぎていしょ
無差別	むさべつ
大好物	だいこうぶつ
出席者	しゅっせきしゃ
実験的	じっけんてき
君達	きみたち
司令部	しれいぶ
本願寺	ほんがんじ
英語力	えいごりょく
指定席	していせき
運転席	うんてんせき
分岐点	ぶんきてん
児童館	じどうかん
消極的	しょうきょくてき
家庭的	かていてき
不必要	ふひつよう
主成分	しゅせいぶん
先着順	せんちゃくじゅん
朝食付	ちょうしょくつき
未入力	みにゅうりょく
海産物	かいさんぶつ
身体的	しんたいてき
最新号	さいしんごう
最終戦	さいしゅうせん
軽量化	けいりょうか
同好会	どうこうかい
対照表	たいしょうひょう
戦時中	せんじちゅう
愛国心	あいこくしん
最大手	さいおおて
一戸建	いっこだて
最重要	さいじゅうよう
不特定	ふとくてい
民主化	みんしゅか
開放的	かいほうてき
副社長	ふくしゃちょう
化学的	かがくてき
未登録	みとうろく
地理的	ちりてき
試験場	しけんじょう
中国産	ちゅうごくさん
人工的	じんこうてき
安定的	あんていてき
軍事力	ぐんじりょく
要予約	ようよやく
公式戦	こうしきせん
英単語	えいたんご
電話機	でんわき
悪天候	あくてんこう
試合前	しあいまえ
受給者	じゅきゅうしゃ
不信感	ふしんかん
失業者	しつぎょうしゃ
希望日	きぼうび
不公平	ふこうへい
発電機	はつでんき
連合軍	れんごうぐん
海兵隊	かいへいたい
自治区	じちく
自治法	じちほう
生理的	せいりてき
試合中	しあいちゅう
産業界	さんぎょうかい
要望書	ようぼうしょ
立体的	りったいてき
持続的	じぞくてき
加速度	かそくど
各方面	かくほうめん
受験者	じゅけんしゃ
軍事的	ぐんじてき
市長選	しちょうせん
古典的	こてんてき
雪景色	ゆきげしき
重点的	じゅうてんてき
力不足	ちからぶそく
運動量	うんどうりょう
無人島	むじんとう
副大臣	ふくだいじん
法人化	ほうじんか
信号機	しんごうき
近未来	きんみらい
先入観	せんにゅうかん
具体例	ぐたいれい
初年度	しょねんど
数種類	すうしゅるい
今月末	こんげつまつ
集中的	しゅうちゅうてき
土産物	みやげもの
初勝利	はつしょうり
実体験	じったいけん
高周波	こうしゅうは
静電気	せいでんき
人民元	じんみんげん
大辞典	だいじてん
変化球	へんかきゅう
未完成	みかんせい
好意的	こういてき
原産地	げんさんち
残業代	ざんぎょうだい
最年少	さいねんしょう
季節感	きせつかん
外交官	がいこうかん
直感的	ちょっかんてき
有機物	ゆうきぶつ
交流戦	こうりゅうせん
表面的	ひょうめんてき
心不全	しんふぜん
受信料	じゅしんりょう
便利屋	べんりや
自然体	しぜんたい
民主的	みんしゅてき
先進的	せんしんてき
飲料水	いんりょうすい
別世界	べっせかい
不参加	ふさんか
自由席	じゆうせき
短期的	たんきてき
最上級	さいじょうきゅう
学芸員	がくげいいん
実験室	じっけんしつ
管理局	かんりきょく
給湯器	きゅうとうき
流星群	りゅうせいぐん
人類学	じんるいがく
積立金	つみたてきん
初期化	しょきか
送別会	そうべつかい
不本意	ふほんい
水産業	すいさんぎょう
副都心	ふくとしん
地元民	じもとみん
打楽器	だがっき
有料化	ゆうりょうか
水産物	すいさんぶつ
案内人	あんないにん
新記録	しんきろく
小料理	こりょうり
静止画	せいしが
音楽的	おんがくてき
祝賀会	しゅくがかい
功労者	こうろうしゃ
形式的	けいしきてき
森林浴	しんりんよく
成功者	せいこうしゃ
国内産	こくないさん
受信機	じゅしんき
石材店	せきざいてん
文例集	ぶんれいしゅう
決議案	けつぎあん
受話器	じゅわき
料金所	りょうきんじょ
平和的	へいわてき
地下街	ちかがい
中心街	ちゅうしんがい
通話料	つうわりょう
体力的	たいりょくてき
衣料品	いりょうひん
業種別	ぎょうしゅべつ
副議長	ふくぎちょう
歌合戦	うたがっせん
茶飯事	さはんじ
例外的	れいがいてき
投票所	とうひょうじょ
送付先	そうふさき
差別的	さべつてき
見積書	みつもりしょ
反省会	はんせいかい
旅客機	りょかくき
道徳的	どうとくてき
消火器	しょうかき
機関紙	きかんし
合法的	ごうほうてき
試作品	しさくひん
通信社	つうしんしゃ
最終章	さいしゅうしょう
町議会	ちょうぎかい
薬事法	やくじほう
天然水	てんねんすい
人道的	じんどうてき
競走馬	きょうそうば
歌唱力	かしょうりょく
手料理	てりょうり
選挙戦	せんきょせん
道案内	みちあんない
二輪車	にりんしゃ
未発表	みはっぴょう
沖縄戦	おきなわせん
多角的	たかくてき
不平等	ふびょうどう
愛好者	あいこうしゃ
試運転	しうんてん
人気順	にんきじゅん
給料日	きゅうりょうび
出産後	しゅっさんご
固定化	こていか
機械化	きかいか
大道芸	だいどうげい
機動隊	きどうたい
投票日	とうひょうび
真空管	しんくうかん
多面的	ためんてき
日本兵	にほんへい
管理下	かんりか
選挙法	せんきょほう
不注意	ふちゅうい
地元産	じもとさん
月例会	げつれいかい
民芸品	みんげいひん
無気力	むきりょく
陸上部	りくじょうぶ
不人気	ふにんき
連続的	れんぞくてき
人生観	じんせいかん
寒冷地	かんれいち
成果物	せいかぶつ
事例集	じれいしゅう
後始末	あとしまつ
連合国	れんごうこく
消化管	しょうかかん
別料金	べつりょうきん
交通法	こうつうほう
時間差	じかんさ
不合理	ふごうり
見聞録	けんぶんろく
児童書	じどうしょ
利用客	りようきゃく
定量的	ていりょうてき
機動力	きどうりょく
楽観的	らっかんてき
原風景	げんふうけい
記録的	きろくてき
伝言板	でんごんばん
原住民	げんじゅうみん
原始的	げんしてき
会議場	かいぎじょう
有機的	ゆうきてき
赤信号	あかしんごう
会議録	かいぎろく
