情報	じょうほう
大暴れ	おおあばれ
経典	きょうてん|けいてん
余る	あまる
型紙	かたがみ
変性	へんせい
真性	しんせい
測り	はかり
解ける	とける|ほどける
境目	さかいめ
ご利益	ごりやく
管制	かんせい
修験	しゅげん
休職	きゅうしょく
型式	かたしき|けいしき
永年	えいねん|ながねん
塩基	えんき
石綿	いしわた|せきめん
別格	べっかく
授賞	じゅしょう
質屋	しちや
増員	ぞういん
程よい	ほどよい
勢ぞろい	せいぞろい
混浴	こんよく
習性	しゅうせい
料率	りょうりつ
採血	さいけつ
別居	べっきょ
政局	せいきょく
軍師	ぐんし
用件	ようけん
肉厚	にくあつ
留保	りゅうほ
墓所	はかしょ|はかどころ|ぼしょ|むしょ
史観	しかん
増刊	ぞうかん
再三	さいさん
適法	てきほう
混ぜ合わせ	まぜあわせ
備長	びんちょう
辺境	へんきょう
報い	むくい
逆行	ぎゃっこう
演芸	えんげい
損なう	そこなう
移築	いちく
効き目	ききめ
形容	けいよう
必修	ひっしゅう
行財政	ぎょうざいせい
採る	とる|どる
生保	せいほ
囲み	かこみ
夢想	むそう
群像	ぐんぞう
流布	るふ
特質	とくしつ
講ずる	こうずる
現す	あらわす
余命	よめい
時限	じげん
肉眼	にくがん
往路	おうろ
興業	こうぎょう
知財	ちざい
経口	けいこう
程遠い	ほどとおい
故事	こじ
去勢	きょせい
営農	えいのう
年額	ねんがく
質素	しっそ
代弁	だいべん
再考	さいこう
精査	せいさ
節税	せつぜい
田舎者	いなかもの
軍勢	ぐんぜい
句集	くしゅう
英検	えいけん
見識	けんしき
遊技	ゆうぎ
暗証	あんしょう
評定	ひょうじょう|ひょうてい
照準	しょうじゅん
安保理	あんぽり
一過	いっか
公費	こうひ
構文	こうぶん
体現	たいげん
往年	おうねん
留まる	とどまる|とまる
夜桜	よざくら
喜ばしい	よろこばしい
見応え	みごたえ
墓場	はかば
講話	こうわ
罪人	ざいにん|つみびと
序章	じょしょう
永代	えいたい
備え付け	そなえつけ
逆流	ぎゃくりゅう
根絶	こんぜつ
旧約	きゅうやく
母性	ぼせい
教職	きょうしょく
志士	しし
告別	こくべつ
造営	ぞうえい
少額	しょうがく
不評	ふひょう
急務	きゅうむ
能楽	のうがく
国技	こくぎ
学資	がくし
市制	しせい
同額	どうがく
弁明	べんめい
非道	ひどう|ひど
居城	きょじょう
酒造り	さけづくり
増産	ぞうさん
型番	かたばん
慣らし	ならし
帰り際	かえりぎわ
総連	そうれん
破局	はきょく
在外	ざいがい
厚手	あつで
液状	えきじょう
面識	めんしき
破格	はかく
暴風	ぼうふう
家政	かせい
示談	じだん
久遠	くおん
雪解け	ゆきどけ
過多	かた
非情	ひじょう
慣行	かんこう
雑用	ざつよう|ぞうよう
子規	しき|ほととぎす
リン酸	りんさん
導電	どうでん
余白	よはく
本職	ほんしょく
鉱業	こうぎょう
熱演	ねつえん
近似	きんじ
妻子	さいし|つまこ
質的	しつてき
留年	りゅうねん
本領	ほんりょう
縄張り	なわばり
講和	こうわ
続報	ぞくほう
旅情	りょじょう
過熱	かねつ
可燃	かねん
再来	さいらい|さらい
殺し屋	ころしや
寄港	きこう
失態	しったい
増益	ぞうえき
職安	しょくあん
変則	へんそく
久しい	ひさしい
賛助	さんじょ
減点	げんてん
鉄則	てっそく
余力	よりょく
軍備	ぐんび
導師	どうし
正史	せいし
総武	そうぶ
再起	さいき
確約	かくやく
接地	せっち
木質	もくしつ
輸出入	ゆしゅつにゅう
土居	つちい|どい
武勇	ぶゆう
確証	かくしょう
素性	すじょう|そせい
復路	ふくろ
格付	かくづけ
防虫	ぼうちゅう
製材	せいざい
良型	りょうけい
広義	こうぎ
首領	しゅりょう
小枝	こえだ|さえだ
暴れん	あばれん
救護	きゅうご
民団	みんだん
素通り	すどおり
公設	こうせつ
寄進	きしん
任用	にんよう
領有	りょうゆう
好適	こうてき
貯水	ちょすい
製図	せいず
改編	かいへん
体液	たいえき
手製	てせい
定規	じょうぎ
球技	きゅうぎ
形質	けいしつ
町営	ちょうえい
船団	せんだん
整復	せいふく
旅団	りょだん
防げる	ふせげる
保冷	ほれい
検体	けんたい
内在	ないざい
可笑しい	おかしい
検品	けんぴん
複線	ふくせん
損する	そんする
戦績	せんせき
引率	いんそつ
平素	へいそ
読破	どくは
逆ギレ	ぎゃくぎれ
経産	けいさん
総代	そうだい
迷信	めいしん
態様	たいよう
横暴	おうぼう
布地	きれじ|ぬのじ
敗因	はいいん
共犯	きょうはん
青銅	せいどう
実測	じっそく
技工	ぎこう
殺そ	ころそ|さっそ
禁書	きんしょ
断続	だんぞく
雑種	ざっしゅ
弁理	べんり
護る	まもる
貸付け	かしつけ
石像	せきぞう
河岸	かがん|かし|かわぎし|がし
神職	しんしょく
修練	しゅうれん
挙げ句	あげく
旧型	きゅうがた
講談	こうだん
逆光	ぎゃっこう
逆らう	さからう
逆境	ぎゃっきょう
統率	とうそつ
造作	ぞうさ|ぞうさく
開祖	かいそ
学識	がくしき
荷造り	にづくり
護身	ごしん
旧来	きゅうらい
かき混ぜ	かきまぜ
史的	してき
着任	ちゃくにん
序曲	じょきょく
総量	そうりょう
余興	よきょう
制止	せいし
水圧	すいあつ
損金	そんきん
燃油	ねんゆ
旧制	きゅうせい
採れる	とれる
格式	かくしき|きゃくしき
主眼	しゅがん
殺生	せっしょう
社保	しゃほ
混迷	こんめい
不慣れ	ふなれ
略歴	りゃくれき
留める	とどめる|とめる
前職	ぜんしょく
市税	しぜい
小判	こばん
能動	のうどう
定率	ていりつ
気性	きしょう
寄せ植え	よせうえ
賞状	しょうじょう
志す	こころざす
山桜	やまざくら
無常	むじょう
織布	しょくふ
制する	せいする
全容	ぜんよう
同義	どうぎ
解毒	げどく
道程	どうてい|みちのり
査察	ささつ
主務	しゅむ
居候	いそうろう
政経	せいけい
薬効	やっこう
素晴しい	すばらしい
初任	しょにん
造語	ぞうご
有毒	ゆうどく
学士	がくし
失効	しっこう
人型	ひとがた
持久	じきゅう
紀要	きよう
息災	そくさい
電停	でんてい
休刊	きゅうかん
素足	すあし
老師	ろうし
余す	あます
肉質	にくしつ
殺気	さっき
格調	かくちょう
破たん	はたん
証し	しょうし|あかし
表象	ひょうしょう
しだれ桜	しだれざくら
雑多	ざった
得体	えたい
一団	いちだん
失禁	しっきん
管財	かんざい
例示	れいじ
講評	こうひょう
張り出し	はりだし
法政	ほうせい
公報	こうほう
仏事	ぶつじ
時報	じほう
税別	ぜいべつ
実像	じつぞう
慣用	かんよう
混血	こんけつ
飼養	しよう
比べ物	くらべもの
義兄	ぎけい
混じる	こんじる|まじる
居合	いあい
評点	ひょうてん
毒物	どくぶつ
総力	そうりょく
品性	ひんせい
損切り	そんぎり
序列	じょれつ
主幹	しゅかん
義姉	ぎし
逆手	ぎゃくて|さかて
費やす	ついやす
開眼	かいがん|かいげん
解法	かいほう
保身	ほしん
不可思議	ふかしぎ
苦境	くきょう
季刊	きかん
素案	そあん
不織	ふしょく
寄り付き	よりつき
不潔	ふけつ|やばち
暴挙	ぼうきょ
築造	ちくぞう
支線	しせん
真価	しんか
終演	しゅうえん
健保	けんぽ
平易	へいい
武具	ぶぐ
混戦	こんせん
製紙	せいし
絶する	ぜっする
過食	かしょく
往時	おうじ
塩酸	えんさん
順応	じゅんのう|じゅんおう
再選	さいせん
前略	ぜんりゃく
現われる	あらわれる
立像	りつぞう
前任	ぜんにん
名寄	なよせ
停戦	ていせん
再燃	さいねん
官報	かんぽう
新任	しんにん
温厚	おんこう
額面	がくめん
弁解	べんかい
発効	はっこう
書状	しょじょう
制動	せいどう
常緑	じょうりょく
近現代	きんげんだい
飼い犬	かいいぬ
紀元	きげん
絶え間	たえま
鉄製	てっせい|てつせい
規正	きせい
似非	えせ
布石	ふせき
証する	しょうする
読み応え	よみごたえ
師弟	してい
金堂	こんどう
製粉	せいふん
独走	どくそう
総社	そうじゃ
編み物	あみもの
買い得	かいどく
自賛	じさん
基底	きてい
きな粉	きなこ
人造	じんぞう
野性	やせい
政調	せいちょう
後衛	こうえい
写経	しゃきょう
再読	さいどく
木版	もくはん
貯留	ちょりゅう
食べ比べ	たべくらべ
救える	すくえる
教務	きょうむ
節減	せつげん
快気	かいき
原状	げんじょう
属国	ぞっこく
考証	こうしょう
利得	りとく
減圧	げんあつ
識者	しきしゃ
読経	どきょう|どっきょう
可能性	かのうせい
事務所	じむしょ
基本的	きほんてき
個人的	こじんてき
美術館	びじゅつかん
弁護士	べんごし
保育園	ほいくえん
消費者	しょうひしゃ
本格的	ほんかくてき
事務局	じむきょく
報告書	ほうこくしょ
公務員	こうむいん
活性化	かっせいか
政治家	せいじか
保護者	ほごしゃ
不可能	ふかのう
経営者	けいえいしゃ
効果的	こうかてき
消費税	しょうひぜい
文化財	ぶんかざい
講演会	こうえんかい
精神的	せいしんてき
芸能人	げいのうじん
経験者	けいけんしゃ
美容室	びようしつ
営業日	えいぎょうび
税理士	ぜいりし
歴史的	れきしてき
証明書	しょうめいしょ
保険料	ほけんりょう
未経験	みけいけん
所在地	しょざいち
技術者	ぎじゅつしゃ
投資家	とうしか
総合的	そうごうてき
必要性	ひつようせい
安全性	あんぜんせい
指導者	しどうしゃ
営業所	えいぎょうしょ
印象的	いんしょうてき
責任者	せきにんしゃ
編集部	へんしゅうぶ
政治的	せいじてき
不適切	ふてきせつ
可愛	かわい
伝統的	でんとうてき
出演者	しゅつえんしゃ
美容院	びよういん
製造業	せいぞうぎょう
講習会	こうしゅうかい
国際的	こくさいてき
効率的	こうりつてき
重要性	じゅうようせい
建築物	けんちくぶつ
方向性	ほうこうせい
工務店	こうむてん
最大限	さいだいげん
現時点	げんじてん
民営化	みんえいか
正確性	せいかくせい
現実的	げんじつてき
産婦人科	さんふじんか
技術的	ぎじゅつてき
保育所	ほいくしょ
留学生	りゅうがくせい
半導体	はんどうたい
幹事長	かんじちょう
資料館	しりょうかん
年賀状	ねんがじょう
無意識	むいしき
決定版	けっていばん
建築家	けんちくか
航空機	こうくうき
最低限	さいていげん
自家製	じかせい
非公開	ひこうかい
犯罪者	はんざいしゃ
精神科	せいしんか
高品質	こうひんしつ
予備校	よびこう
研修会	けんしゅうかい
新製品	しんせいひん
交通費	こうつうひ
個性的	こせいてき
対象外	たいしょうがい
主義者	しゅぎしゃ
業務用	ぎょうむよう
最寄駅	もよりえき
典型的	てんけいてき
低価格	ていかかく
実質的	じっしつてき
保険者	ほけんしゃ
対象者	たいしょうしゃ
説得力	せっとくりょく
編集者	へんしゅうしゃ
編集長	へんしゅうちょう
暴力団	ぼうりょくだん
会計士	かいけいし
高血圧	こうけつあつ
救急車	きゅうきゅうしゃ
総選挙	そうせんきょ
高性能	こうせいのう
多様性	たようせい
高画質	こうがしつ
質問者	しつもんしゃ
利便性	りべんせい
効率化	こうりつか
小麦粉	こむぎこ
日常的	にちじょうてき
人件費	じんけんひ
支持率	しじりつ
管理費	かんりひ
非表示	ひひょうじ
入居者	にゅうきょしゃ
有意義	ゆういぎ
非営利	ひえいり
機能性	きのうせい
保証金	ほしょうきん
無責任	むせきにん
方程式	ほうていしき
準決勝	じゅんけっしょう
管理職	かんりしょく
最小限	さいしょうげん
医師会	いしかい
血液型	けつえきがた
居場所	いばしょ
建造物	けんぞうぶつ
生産性	せいさんせい
不利益	ふりえき
絶対的	ぜったいてき
再開発	さいかいはつ
再利用	さいりよう
芸能界	げいのうかい
人間性	にんげんせい
強制的	きょうせいてき
基本法	きほんほう
建設業	けんせつぎょう
保健所	ほけんじょ
建築士	けんちくし
所得税	しょとくぜい
安定性	あんていせい
最適化	さいてきか
想像力	そうぞうりょく
習慣病	しゅうかんびょう
本質的	ほんしつてき
戦略的	せんりゃくてき
直接的	ちょくせつてき
競技場	きょうぎじょう
合格者	ごうかくしゃ
技術力	ぎじゅつりょく
基準法	きじゅんほう
解像度	かいぞうど
限定版	げんていばん
情報量	じょうほうりょう
栄養素	えいようそ
栄養士	えいようし
保証人	ほしょうにん
保険金	ほけんきん
留守番	るすばん
個人差	こじんさ
参加費	さんかひ
準備中	じゅんびちゅう
指導員	しどういん
出版物	しゅっぱんぶつ
芸術家	げいじゅつか
保育士	ほいくし
日本製	にほんせい
美容師	びようし
構造物	こうぞうぶつ
過半数	かはんすう
高機能	こうきのう
情報化	じょうほうか
全国版	ぜんこくばん
法人税	ほうじんぜい
製作所	せいさくしょ|せいさくじょ
申告書	しんこくしょ
番外編	ばんがいへん
絶好調	ぜっこうちょう
有効性	ゆうこうせい
合唱団	がっしょうだん
基地外	きちがい
婦人科	ふじんか
予約制	よやくせい
授業料	じゅぎょうりょう
体験版	たいけんばん
非常識	ひじょうしき
関連性	かんれんせい
消防団	しょうぼうだん
価格帯	かかくたい
不快感	ふかいかん
機能的	きのうてき
受賞者	じゅしょうしゃ
資本金	しほんきん
限度額	げんどがく
情報局	じょうほうきょく
世界史	せかいし
無条件	むじょうけん
生活費	せいかつひ
助教授	じょきょうじゅ
似顔絵	にがおえ
在学中	ざいがくちゅう
停留所	ていりゅうじょ
標準的	ひょうじゅんてき
世紀末	せいきまつ
事業費	じぎょうひ
常識的	じょうしきてき
表現力	ひょうげんりょく
支持者	しじしゃ
構成員	こうせいいん
支部長	しぶちょう
再起動	さいきどう
感情的	かんじょうてき
相続税	そうぞくぜい
内容量	ないようりょう
現在地	げんざいち
神経質	しんけいしつ
組織的	そしきてき
労務士	ろうむし
乗務員	じょうむいん
有用性	ゆうようせい
標準化	ひょうじゅんか
保険証	ほけんしょう
出張所	しゅっちょうじょ
受講者	じゅこうしゃ
未対応	みたいおう
関西弁	かんさいべん
調査会	ちょうさかい
非正規	ひせいき
移動中	いどうちゅう
精力的	せいりょくてき
紀元前	きげんぜん
共益費	きょうえきひ
新技術	しんぎじゅつ
衛生士	えいせいし
能力者	のうりょくしゃ
市職員	ししょくいん
国際化	こくさいか
報告会	ほうこくかい
所得者	しょとくしゃ
女性用	じょせいよう
資格者	しかくしゃ
会員制	かいいんせい
絶望的	ぜつぼうてき
精神病	せいしんびょう
適正化	てきせいか
付属品	ふぞくひん
相当額	そうとうがく
有識者	ゆうしきしゃ
本格化	ほんかくか
平均的	へいきんてき
住民税	じゅうみんぜい
研修医	けんしゅうい
感受性	かんじゅせい
再発見	さいはっけん
短編集	たんぺんしゅう
新世紀	しんせいき
罪悪感	ざいあくかん
寄生虫	きせいちゅう
保険法	ほけんほう
年会費	ねんかいひ
美術品	びじゅつひん
同性愛	どうせいあい
多機能	たきのう
招待状	しょうたいじょう
消費量	しょうひりょう
検察官	けんさつかん
支配人	しはいにん
意識的	いしきてき
関係性	かんけいせい
現行犯	げんこうはん
武道館	ぶどうかん
自衛官	じえいかん
救世主	きゅうせいしゅ
予告編	よこくへん
経歴書	けいれきしょ
無防備	むぼうび
合計額	ごうけいがく
雑貨屋	ざっかや
正常化	せいじょうか
酸化物	さんかぶつ
修道院	しゅうどういん
自給率	じきゅうりつ
研究費	けんきゅうひ
製作者	せいさくしゃ
研修生	けんしゅうせい
不規則	ふきそく
居住者	きょじゅうしゃ
雑木林	ぞうきばやし
精神力	せいしんりょく
無表情	むひょうじょう
不合格	ふごうかく
気管支	きかんし
何個	なんこ
整合性	せいごうせい
非日常	ひにちじょう
守護神	しゅごしん
無制限	むせいげん
構造的	こうぞうてき
助産師	じょさんし
工事費	こうじひ
事業団	じぎょうだん
責任感	せきにんかん
低所得	ていしょとく
業務上	ぎょうむじょう
現代的	げんだいてき
非課税	ひかぜい
総集編	そうしゅうへん
全体像	ぜんたいぞう
支配者	しはいしゃ
運転士	うんてんし
低気圧	ていきあつ
自営業	じえいぎょう
義務者	ぎむしゃ
評議員	ひょうぎいん
注意報	ちゅういほう
通気性	つうきせい
成長率	せいちょうりつ
断熱材	だんねつざい
現金化	げんきんか
社労士	しゃろうし
代議士	だいぎし
知識人	ちしきじん
史上初	しじょうはつ
防止法	ぼうしほう
飛行士	ひこうし
雑記帳	ざっきちょう
明確化	めいかくか
制作者	せいさくしゃ
武士道	ぶしどう
寄付金	きふきん
停止中	ていしちゅう
志望校	しぼうこう
中国製	ちゅうごくせい
受容体	じゅようたい
失業率	しつぎょうりつ
流動性	りゅうどうせい
正当性	せいとうせい
逆効果	ぎゃくこうか
国際法	こくさいほう
弁護人	べんごにん
保健室	ほけんしつ
判断力	はんだんりょく
新機能	しんきのう
保留中	ほりゅうちゅう
演出家	えんしゅつか
複数人	ふくすうにん
不整脈	ふせいみゃく
無所属	むしょぞく
解決法	かいけつほう
組織化	そしきか
暴走族	ぼうそうぞく
金属製	きんぞくせい
求職者	きゅうしょくしゃ
刊行物	かんこうぶつ
人物像	じんぶつぞう
植物性	しょくぶつせい
支店長	してんちょう
社会性	しゃかいせい
調教師	ちょうきょうし
支配下	しはいか
感謝祭	かんしゃさい
新人賞	しんじんしょう
芸術的	げいじゅつてき
不条理	ふじょうり
光熱費	こうねつひ
製品名	せいひんめい
効果音	こうかおん
受講料	じゅこうりょう
在校生	ざいこうせい
弁当箱	べんとうばこ
再発行	さいはっこう
留意点	りゅういてん
国際線	こくさいせん
再評価	さいひょうか
財務相	ざいむしょう
在来線	ざいらいせん
合理性	ごうりせい
非公式	ひこうしき
好印象	こういんしょう
設計図	せっけいず
製品化	せいひんか
暴力的	ぼうりょくてき
具現化	ぐげんか
製造元	せいぞうもと
禁止法	きんしほう
対象物	たいしょうぶつ
実用性	じつようせい
直営店	ちょくえいてん
停車駅	ていしゃえき
競技会	きょうぎかい
評議会	ひょうぎかい
標準語	ひょうじゅんご
法務局	ほうむきょく
解説書	かいせつしょ
事務員	じむいん
性犯罪	せいはんざい
測定器	そくていき
芸術祭	げいじゅつさい
栄養価	えいようか
利益率	りえきりつ
読解力	どっかいりょく
許可証	きょかしょう
文学賞	ぶんがくしょう
特別賞	とくべつしょう
保証書	ほしょうしょ
営業部	えいぎょうぶ
正義感	せいぎかん
仮想化	かそうか
記者団	きしゃだん
複合機	ふくごうき
教育費	きょういくひ
消防車	しょうぼうしゃ
統計的	とうけいてき
解説者	かいせつしゃ
備長炭	びんちょうたん
告別式	こくべつしき
保守的	ほしゅてき
少年団	しょうねんだん
予備軍	よびぐん
同一性	どういつせい
合格率	ごうかくりつ
感謝状	かんしゃじょう
投票率	とうひょうりつ
義務化	ぎむか
無造作	むぞうさ
大前提	だいぜんてい
受益者	じゅえきしゃ
美意識	びいしき
事務室	じむしつ
成功率	せいこうりつ
建設的	けんせつてき
市民税	しみんぜい
新興国	しんこうこく
弁護団	べんごだん
保健師	ほけんし
資料室	しりょうしつ
主任者	しゅにんしゃ
基地局	きちきょく
調理師	ちょうりし
大動脈	だいどうみゃく
必然性	ひつぜんせい
高学歴	こうがくれき
職員室	しょくいんしつ
容積率	ようせきりつ
調査員	ちょうさいん
衛生的	えいせいてき
演技力	えんぎりょく
原則的	げんそくてき
面接官	めんせつかん
限定的	げんていてき
輸入車	ゆにゅうしゃ
資料集	しりょうしゅう
小型化	こがたか
不適当	ふてきとう
道州制	どうしゅうせい
事故死	じこし
高評価	こうひょうか
自意識	じいしき
調査士	ちょうさし
健常者	けんじょうしゃ
集団的	しゅうだんてき
総務部	そうむぶ
弁理士	べんりし
低所得者	ていしょとくしゃ
物質的	ぶっしつてき
予防法	よぼうほう
営業中	えいぎょうちゅう
総務課	そうむか
氷河期	ひょうがき
中性子	ちゅうせいし
独自性	どくじせい
準備金	じゅんびきん
登録制	とうろくせい
情熱的	じょうねつてき
現代語	げんだいご
一体型	いったいがた
委任状	いにんじょう
婦人服	ふじんふく
統計学	とうけいがく
表示順	ひょうじじゅん
高気圧	こうきあつ
確信犯	かくしんはん
指導力	しどうりょく
総本山	そうほんざん
地方税	ちほうぜい
自主性	じしゅせい
団体戦	だんたいせん
先天性	せんてんせい
血液中	けつえきちゅう
確実性	かくじつせい
無機質	むきしつ
無限大	むげんだい
志願者	しがんしゃ
代表格	だいひょうかく
経営学	けいえいがく
営業職	えいぎょうしょく
日程表	にっていひょう
輸入品	ゆにゅうひん
得意先	とくいさき
直輸入	ちょくゆにゅう
外断熱	そとだんねつ
学術的	がくじゅつてき
高得点	こうとくてん
現実味	げんじつみ
主体性	しゅたいせい
公会堂	こうかいどう
居住地	きょじゅうち
再出発	さいしゅっぱつ
居住用	きょじゅうよう
歴史学	れきしがく
性教育	せいきょういく
得意技	とくいわざ
実効性	じっこうせい
最新刊	さいしんかん
貸付金	かしつけきん
個人名	こじんめい
張本人	ちょうほんにん
現代史	げんだいし
養育費	よういくひ
政治学	せいじがく
非売品	ひばいひん
混合物	こんごうぶつ
大航海	だいこうかい
公共性	こうきょうせい
議事堂	ぎじどう
快適性	かいてきせい
評価書	ひょうかしょ
無効化	むこうか
非線形	ひせんけい
断続的	だんぞくてき
小型犬	こがたけん
過労死	かろうし
事故車	じこしゃ
定時制	ていじせい
無期限	むきげん
総動員	そうどういん
高水準	こうすいじゅん
保育料	ほいくりょう
大本営	だいほんえい
動物性	どうぶつせい
競技者	きょうぎしゃ
気象台	きしょうだい
低学歴	ていがくれき
前日比	ぜんじつひ
再生産	さいせいさん
調査団	ちょうさだん
